Section,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Flexure_Class_S355,Flexure_Class_S460
HD 400 x 382,416.0,406.0,29.8,48.0,20.0,320.0,280.0,487.1,2.362,141670.0,6811.0,7987.0,17.0,132.2,53620.0,2641.0,4033.0,10.4,14.9,3348.0,18120.0,1.0,1,1.0,1
HD 400 x 347,407.0,404.0,27.2,43.7,20.0,320.0,280.0,442.0,2.341,125300.0,6157.0,7161.0,16.8,119.7,48090.0,2380.0,3631.0,10.4,13.8,2532.0,15840.0,1.0,1,1.0,1
HD 400 x 314,399.0,401.0,24.9,39.6,20.0,320.0,280.0,399.2,2.318,110580.0,5543.0,6397.0,16.6,108.7,42600.0,2125.0,3239.0,10.3,12.7,1891.0,13740.0,1.0,1,1.0,1
HD 400 x 287,393.0,399.0,22.6,36.6,20.0,320.0,280.0,366.3,2.302,100060.0,5092.0,5835.0,16.4,98.62,38780.0,1944.0,2959.0,10.2,11.9,1484.0,12300.0,1.0,1,1.0,1
HD 400 x 262,387.0,398.0,21.1,33.3,20.0,320.0,280.0,334.6,2.289,89760.0,4638.0,5282.0,16.3,91.38,35020.0,1759.0,2678.0,10.2,11.1,1133.0,10940.0,1.0,1,1.0,1
HD 400 x 237,380.0,395.0,18.9,30.2,20.0,320.0,280.0,300.9,2.268,79130.0,4164.0,4708.0,16.1,81.62,31040.0,1571.0,2389.0,10.1,10.2,841.9,9489.0,1.0,1,1.0,1
HD 400 x 216,375.0,394.0,17.3,27.7,20.0,320.0,280.0,275.5,2.257,71490.0,3813.0,4285.0,16.0,74.59,28250.0,1434.0,2178.0,10.0,9.6,652.1,8514.0,1.0,1,1.0,1
HD 400 x 187,368.0,391.0,15.0,24.0,20.0,320.0,280.0,237.6,2.236,60540.0,3290.0,3665.0,15.9,64.63,23920.0,1223.0,1856.0,10.0,8.6,426.9,7073.0,1.0,2,1.0,2
HD 360 x 196,372.0,374.0,16.4,26.2,20.0,320.0,280.0,250.3,2.173,63980.0,3440.0,3860.0,15.9,70.62,22860.0,1222.0,1858.0,9.5,9.2,530.9,6828.0,1.0,1,1.0,1
HD 360 x 179,368.0,373.0,15.0,23.9,20.0,320.0,280.0,228.3,2.164,57790.0,3141.0,3505.0,15.8,64.6,20680.0,1109.0,1684.0,9.4,8.6,406.0,6119.0,1.0,2,1.0,2
HD 360 x 162,364.0,371.0,13.3,21.8,20.0,320.0,280.0,206.3,2.151,51890.0,2851.0,3162.0,15.8,57.66,18560.0,1000.0,1518.0,9.4,8.0,306.6,5431.0,1.0,3,1.0,3
HD 360 x 147,360.0,370.0,12.3,19.8,20.0,320.0,280.0,187.9,2.141,46640.0,2591.0,2861.0,15.6,53.19,16720.0,904.0,1371.0,9.3,7.5,233.3,4836.0,2.0,3,2.0,3
HD 360 x 134,356.0,369.0,11.2,18.0,20.0,320.0,280.0,170.6,2.131,41860.0,2352.0,2585.0,15.5,48.48,15080.0,817.3,1238.0,9.3,7.0,177.3,4305.0,3.0,3,3.0,3
HD 320 x 300,375.0,313.0,27.0,48.0,27.0,279.0,225.0,382.1,1.902,86900.0,4634.0,5521.0,15.0,120.4,24600.0,1572.0,2414.0,8.0,15.4,2631.0,6557.0,1.0,1,1.0,1
HD 320 x 245,359.0,309.0,21.0,40.0,27.0,279.0,225.0,312.0,1.866,68130.0,3795.0,4435.0,14.7,94.84,19700.0,1275.0,1950.0,7.9,13.2,1506.0,5003.0,1.0,1,1.0,1
HD 320 x 198,343.0,306.0,18.0,32.0,27.0,279.0,225.0,252.3,1.828,51890.0,3025.0,3479.0,14.3,79.51,15310.0,1000.0,1530.0,7.7,11.3,808.5,3695.0,1.0,1,1.0,1
HD 320 x 158,330.0,303.0,14.5,25.5,27.0,279.0,225.0,201.2,1.797,39640.0,2402.0,2718.0,14.0,64.18,11840.0,781.6,1193.0,7.6,9.7,424.9,2740.0,1.0,1,1.0,1
HD 320 x 127,320.0,300.0,11.5,20.5,27.0,279.0,225.0,161.3,1.771,30820.0,1926.0,2149.0,13.8,51.77,9238.0,615.9,939.0,7.5,8.4,230.4,2068.0,1.0,1,1.0,1
"HD 320 x 97,6",310.0,300.0,9.0,15.5,27.0,279.0,225.0,124.4,1.756,22920.0,1479.0,1628.0,13.5,41.13,6985.0,465.6,709.7,7.4,7.1,111.8,1512.0,2.0,3,2.0,3
"HD 320 x 74,2",301.0,300.0,8.0,11.0,27.0,279.0,225.0,94.6,1.74,16440.0,1092.0,1196.0,13.1,35.39,4959.0,330.6,505.7,7.2,6.1,53.58,1040.0,3.0,4,3.0,4
HD 260 x 299,335.0,278.0,31.0,55.0,24.0,225.0,177.0,380.5,1.679,64210.0,3833.0,4726.0,12.9,118.1,19770.0,1422.0,2189.0,7.2,16.9,3392.0,3860.0,1.0,1,1.0,1
HD 260 x 225,309.0,271.0,24.0,42.0,24.0,225.0,177.0,286.6,1.613,43750.0,2831.0,3395.0,12.3,89.18,13970.0,1031.0,1583.0,6.9,13.6,1533.0,2482.0,1.0,1,1.0,1
HD 260 x 172,290.0,268.0,18.0,32.5,24.0,225.0,177.0,219.6,1.575,31300.0,2159.0,2523.0,11.9,66.89,10440.0,779.7,1192.0,6.8,11.1,720.1,1728.0,1.0,1,1.0,1
HD 260 x 142,278.0,265.0,15.5,26.5,24.0,225.0,177.0,180.3,1.544,24330.0,1750.0,2015.0,11.6,56.64,8235.0,621.5,950.4,6.7,9.6,407.3,1299.0,1.0,1,1.0,1
HD 260 x 114,268.0,262.0,12.5,21.5,24.0,225.0,177.0,145.7,1.518,18910.0,1411.0,1599.0,11.3,46.07,6455.0,492.8,752.4,6.6,8.3,224.5,978.9,1.0,1,1.0,1
"HD 260 x 93,0",260.0,260.0,10.0,17.5,24.0,225.0,177.0,118.4,1.499,14910.0,1147.0,1282.0,11.2,37.59,5134.0,394.9,602.2,6.5,7.3,126.6,753.6,1.0,1,1.0,1
"HD 260 x 68,2",250.0,260.0,7.5,12.5,24.0,225.0,177.0,86.8,1.484,10450.0,836.3,919.7,10.9,28.75,3667.0,282.1,430.1,6.4,6.0,54.19,516.3,3.0,3,3.0,3
"HD 260 x 54,1",244.0,260.0,6.5,9.5,24.0,225.0,177.0,69.0,1.474,7980.0,654.1,714.4,10.7,24.74,2788.0,214.4,327.7,6.3,5.3,30.09,382.5,3.0,4,3.0,4
HP,,,,,,,,,,,,,,,,,,,,,,,,,
HP 400 x 231,372.0,402.0,26.0,26.0,20.0,320.0,280.0,294.2,2.266,70610.0,3796.0,4335.0,15.4,103.7,28200.0,1403.0,2160.0,9.7,10.1,733.0,8425.0,1.0,2,1.0,2
HP 400 x 213,368.0,400.0,24.0,24.0,20.0,320.0,280.0,270.7,2.254,64270.0,3493.0,3970.0,15.3,95.59,25640.0,1282.0,1971.0,9.7,9.5,577.2,7573.0,1.0,2,1.0,2
HP 400 x 194,364.0,398.0,22.0,22.0,20.0,320.0,280.0,247.5,2.242,58110.0,3193.0,3611.0,15.2,87.47,23150.0,1163.0,1786.0,9.6,8.9,445.7,6759.0,2.0,3,2.0,3
HP 400 x 176,360.0,396.0,20.0,20.0,20.0,320.0,280.0,224.3,2.23,52120.0,2895.0,3258.0,15.1,79.43,20720.0,1046.0,1605.0,9.5,8.3,336.3,5982.0,3.0,3,3.0,3
HP 400 x 158,356.0,394.0,18.0,18.0,20.0,320.0,280.0,201.4,2.218,46290.0,2600.0,2911.0,15.1,71.47,18370.0,932.5,1427.0,9.5,7.7,246.7,5240.0,3.0,3,3.0,3
HP 400 x 140,352.0,392.0,16.0,16.0,20.0,320.0,280.0,178.6,2.206,40630.0,2308.0,2570.0,15.0,63.59,16070.0,820.3,1254.0,9.4,7.1,175.0,4533.0,3.0,4,3.0,4
HP 400 x 122,348.0,390.0,14.0,14.0,20.0,320.0,280.0,155.9,2.194,35120.0,2018.0,2235.0,14.9,55.79,13850.0,710.4,1084.0,9.3,6.5,119.1,3860.0,4.0,4,4.0,4
HP 360 x 180,362.9,378.8,21.1,21.1,20.0,320.6,280.6,229.5,2.164,53380.0,2941.0,3327.0,15.2,83.99,19140.0,1010.0,1554.0,9.1,8.6,382.6,5582.0,2.0,3,2.0,3
HP 360 x 174,361.4,378.5,20.3,20.4,20.0,320.6,280.6,221.5,2.162,51350.0,2841.0,3208.0,15.1,80.81,18460.0,975.7,1499.0,9.0,8.4,344.9,5359.0,2.0,3,2.0,3
HP 360 x 152,356.4,376.0,17.8,17.9,20.0,320.6,280.6,193.7,2.147,44310.0,2486.0,2789.0,15.0,70.84,15880.0,844.6,1295.0,9.0,7.7,234.8,4542.0,3.0,3,3.0,3
HP 360 x 133,352.0,373.8,15.6,15.7,20.0,320.6,280.6,169.4,2.134,38320.0,2177.0,2427.0,14.9,62.17,13680.0,732.0,1120.0,8.9,7.0,160.2,3864.0,3.0,4,3.0,4
HP 360 x 109,346.4,371.0,12.8,12.9,20.0,320.6,280.6,138.7,2.117,30970.0,1788.0,1978.0,14.8,51.28,10980.0,592.4,904.6,8.8,6.2,91.19,3052.0,4.0,4,4.0,4
HP 320 x 184,329.0,317.0,25.0,25.0,27.0,279.0,225.0,234.5,1.83,42340.0,2574.0,2979.0,13.4,95.75,13330.0,841.1,1311.0,7.5,10.6,586.4,3066.0,1.0,1,1.0,1
HP 320 x 147,319.0,312.0,20.0,20.0,27.0,279.0,225.0,186.9,1.8,32670.0,2048.0,2338.0,13.2,76.85,10160.0,651.2,1011.0,7.3,9.1,309.6,2262.0,1.0,1,1.0,1
HP 320 x 117,311.0,308.0,16.0,16.0,27.0,279.0,225.0,149.5,1.776,25470.0,1638.0,1848.0,13.0,62.09,7814.0,507.4,785.5,7.2,7.9,166.9,1695.0,2.0,3,2.0,3
HP 320 x 103,307.0,306.0,14.0,14.0,27.0,279.0,225.0,131.0,1.764,22050.0,1436.0,1611.0,12.9,54.83,6704.0,438.1,677.2,7.1,7.3,116.8,1434.0,3.0,3,3.0,3
HP 320 x 88,303.0,304.0,12.0,12.0,27.0,279.0,225.0,112.7,1.752,18740.0,1237.0,1378.0,12.8,47.65,5633.0,370.6,572.0,7.0,6.7,78.74,1189.0,3.0,3,3.0,3
HP 305 x 223,337.9,325.7,30.3,30.4,20.0,277.1,237.10000000000002,284.0,1.884,52950.0,3134.0,3672.0,13.6,108.7,17580.0,1079.0,1682.0,7.8,11.4,977.0,4138.0,1.0,1,1.0,1
HP 305 x 186,328.3,320.9,25.5,25.6,20.0,277.1,237.10000000000002,236.9,1.855,42860.0,2611.0,3022.0,13.4,90.86,14140.0,881.7,1369.0,7.7,10.0,583.3,3229.0,1.0,1,1.0,1
HP 305 x 180,326.7,319.7,24.8,24.8,20.0,277.1,237.10000000000002,229.3,1.848,41220.0,2523.0,2915.0,13.3,88.22,13550.0,847.7,1315.0,7.6,9.7,532.2,3077.0,1.0,1,1.0,1
HP 305 x 149,318.5,316.0,20.6,20.7,20.0,277.1,237.10000000000002,189.9,1.825,33320.0,2092.0,2389.0,13.1,73.06,10910.0,690.7,1067.0,7.5,8.5,310.3,2413.0,1.0,1,1.0,1
HP 305 x 126,312.3,312.9,17.5,17.6,20.0,277.1,237.10000000000002,160.6,1.807,27660.0,1771.0,2004.0,13.0,62.04,9005.0,575.5,887.3,7.4,7.6,192.8,1951.0,1.0,3,1.0,3
HP 305 x 110,307.9,310.7,15.3,15.4,20.0,277.1,237.10000000000002,140.1,1.794,23810.0,1547.0,1739.0,12.9,54.34,7712.0,496.4,763.6,7.3,6.9,131.0,1646.0,3.0,3,3.0,3
HP 305 x 95,303.7,308.7,13.3,13.3,20.0,277.1,237.10000000000002,121.0,1.781,20300.0,1336.0,1493.0,12.8,47.37,6531.0,423.1,649.7,7.3,6.3,86.88,1374.0,3.0,3,3.0,3
HP 305 x 88,301.7,307.8,12.4,12.3,20.0,277.1,237.10000000000002,112.1,1.775,18680.0,1238.0,1379.0,12.8,44.23,5986.0,389.0,596.9,7.2,6.0,70.29,1251.0,3.0,4,3.0,4
HP 305 x 79,299.3,306.4,11.0,11.1,20.0,277.1,237.10000000000002,100.5,1.768,16690.0,1115.0,1237.0,12.7,39.57,5328.0,347.8,532.8,7.2,5.6,52.15,1105.0,4.0,4,4.0,4
HP 260 x 87,253.0,267.0,14.0,14.0,24.0,225.0,177.0,111.0,1.505,12580.0,994.9,1123.0,10.6,45.12,4455.0,333.7,516.1,6.3,7.0,96.57,634.2,1.0,3,1.0,3
HP 260 x 75,249.0,265.0,12.0,12.0,24.0,225.0,177.0,95.5,1.493,10640.0,855.1,958.5,10.5,39.14,3732.0,281.7,435.0,6.2,6.4,64.28,522.6,3.0,3,3.0,3
HP 220 x 57,210.0,224.5,11.0,11.0,18.0,188.0,152.0,72.9,1.265,5729.0,545.6,613.6,8.8,28.63,2079.0,185.2,285.5,5.3,5.4,37.61,205.3,2.0,3,2.0,3
HP 200 x 53,204.0,207.0,11.3,11.3,10.0,181.4,161.4,68.4,1.196,4977.0,487.9,551.2,8.5,24.89,1673.0,161.6,248.5,4.9,4.5,31.94,155.0,2.0,3,2.0,3
HP 200 x 43,200.0,205.0,9.0,9.0,10.0,182.0,162.0,54.1,1.185,3887.0,388.7,434.5,8.4,19.84,1293.0,126.2,193.3,4.8,3.8,16.34,117.8,3.0,3,3.0,3
UBP,,,,,,,,,,,,,,,,,,,,,,,,,
UBP 406 x 406 x 272,419.0,413.0,28.6,28.6,20.0,361.8,321.8,343.1,2.398,102530.0,4894.0,5607.0,17.2,126.5,33660.0,1630.0,2519.0,9.9,10.9,1020.0,12790.0,1.0,1,1.0,1
UBP 406 x 406 x 242,413.0,410.0,25.4,25.4,20.0,361.8,321.8,303.7,2.381,89460.0,4332.0,4930.0,17.1,112.0,29230.0,1426.0,2199.0,9.8,9.9,716.0,10950.0,1.0,2,1.0,2
UBP 406 x 406 x 211,406.0,406.0,22.2,22.2,20.0,361.8,321.8,264.0,2.357,76270.0,3757.0,4245.0,16.9,97.51,24800.0,1221.0,1879.0,9.6,9.0,478.7,9118.0,2.0,3,2.0,3
UBP 406 x 406 x 181,400.0,403.0,19.1,19.1,20.0,361.8,321.8,226.5,2.339,64490.0,3224.0,3617.0,16.8,83.82,20860.0,1035.0,1588.0,9.5,8.0,307.0,7557.0,3.0,3,3.0,3
UBP 406 x 406 x 151,394.0,400.0,15.9,15.9,20.0,361.8,321.8,188.2,2.322,52850.0,2683.0,2986.0,16.7,69.91,16970.0,848.8,1299.0,9.4,7.1,179.7,6061.0,3.0,4,3.0,4
UBP 406 x 406 x 131,389.0,398.0,13.7,13.7,20.0,361.8,321.8,162.0,2.308,44880.0,2307.0,2554.0,16.6,60.32,14400.0,724.0,1105.0,9.4,6.4,116.9,5068.0,4.0,4,4.0,4
UBP 356 x 368 x 174,361.4,378.5,20.3,20.4,20.0,320.6,280.6,221.5,2.162,51350.0,2841.0,3208.0,15.1,80.81,18460.0,975.7,1499.0,9.0,8.4,344.9,5359.0,2.0,3,2.0,3
UBP 356 x 368 x 152,356.4,376.0,17.8,17.9,20.0,320.6,280.6,193.7,2.147,44310.0,2486.0,2789.0,15.0,70.84,15880.0,844.6,1295.0,9.0,7.7,234.8,4542.0,3.0,3,3.0,3
UBP 356 x 368 x 133,352.0,373.8,15.6,15.7,20.0,320.6,280.6,169.4,2.134,38320.0,2177.0,2427.0,14.9,62.17,13680.0,732.0,1120.0,8.9,7.0,160.2,3864.0,3.0,4,3.0,4
UBP 356 x 368 x 109,346.4,371.0,12.8,12.9,20.0,320.6,280.6,138.7,2.117,30970.0,1788.0,1978.0,14.8,51.28,10980.0,592.4,904.6,8.8,6.2,91.19,3052.0,4.0,4,4.0,4
UBP 305 x 305 x 223,337.9,325.7,30.3,30.4,20.0,277.1,237.10000000000002,284.0,1.884,52950.0,3134.0,3672.0,13.6,108.7,17580.0,1079.0,1682.0,7.8,11.4,977.0,4138.0,1.0,1,1.0,1
UBP 305 x 305 x 186,328.3,320.9,25.5,25.6,20.0,277.1,237.10000000000002,236.9,1.855,42860.0,2611.0,3022.0,13.4,90.86,14140.0,881.7,1369.0,7.7,10.0,583.3,3229.0,1.0,1,1.0,1
UBP 305 x 305 x 149,318.5,316.0,20.6,20.7,20.0,277.1,237.10000000000002,189.9,1.825,33320.0,2092.0,2389.0,13.1,73.06,10910.0,690.7,1067.0,7.5,8.5,310.3,2413.0,1.0,1,1.0,1
UBP 305 x 305 x 126,312.3,312.9,17.5,17.6,20.0,277.1,237.10000000000002,160.6,1.807,27660.0,1771.0,2004.0,13.0,62.04,9005.0,575.5,887.3,7.4,7.6,192.8,1951.0,1.0,3,1.0,3
UBP 305 x 305 x 110,307.9,310.7,15.3,15.4,20.0,277.1,237.10000000000002,140.1,1.794,23810.0,1547.0,1739.0,12.9,54.34,7712.0,496.4,763.6,7.3,6.9,131.0,1646.0,3.0,3,3.0,3
UBP 305 x 305 x 95,303.7,308.7,13.3,13.3,20.0,277.1,237.10000000000002,120.9,1.781,20300.0,1336.0,1493.0,12.8,47.37,6531.0,423.1,649.7,7.3,6.3,86.88,1374.0,3.0,3,3.0,3
UBP 305 x 305 x 88,301.7,307.8,12.4,12.3,20.0,277.1,237.10000000000002,112.1,1.775,18680.0,1238.0,1379.0,12.8,44.23,5986.0,389.0,596.9,7.2,6.0,70.29,1251.0,3.0,4,3.0,4
UBP 305 x 305 x 79,299.3,306.4,11.0,11.1,20.0,277.1,237.10000000000002,100.5,1.768,16690.0,1115.0,1237.0,12.7,39.57,5328.0,347.8,532.8,7.2,5.6,52.15,1105.0,4.0,4,4.0,4
UBP 254 x 254 x 85,254.3,260.4,14.4,14.3,13.0,225.7,199.7,108.4,1.499,12290.0,966.7,1093.0,10.6,39.72,4215.0,323.7,497.9,6.2,5.8,82.17,605.9,2.0,3,2.0,3
UBP 254 x 254 x 71,249.7,258.0,12.0,12.0,13.0,225.7,199.7,90.4,1.485,10070.0,807.2,904.6,10.5,33.09,3439.0,266.6,408.8,6.1,5.1,48.64,485.1,3.0,3,3.0,3
UBP 254 x 254 x 63,247.1,256.6,10.6,10.7,13.0,225.7,199.7,80.2,1.477,8868.0,717.7,800.0,10.5,29.29,3016.0,235.0,359.7,6.1,4.7,34.48,420.9,3.0,4,3.0,4
UBP 203 x 203 x 54,204.0,207.7,11.3,11.4,10.0,181.2,161.2,68.7,1.199,5024.0,492.5,556.3,8.5,24.9,1705.0,164.1,252.3,4.9,4.5,32.56,157.8,2.0,3,2.0,3
UBP 203 x 203 x 45,200.2,205.9,9.5,9.5,10.0,181.2,161.2,57.2,1.188,4097.0,409.3,458.5,8.4,20.87,1383.0,134.4,206.0,4.9,4.0,19.15,125.6,3.0,3,3.0,3
UB,,,,,,,,,,,,,,,,,,,,,,,,,
UB 1100 x 400 x 607,1138.0,410.0,31.0,55.0,30.0,1028.0,968.0,773.1,3.802,1624100.0,28540.0,33000.0,45.7,376.4,63470.0,3096.0,4886.0,9.0,17.6,5789.0,185250.0,1.0,1,3.0,4
UB 1100 x 400 x 548,1128.0,407.0,28.0,50.0,30.0,1028.0,968.0,698.3,3.776,1456640.0,25820.0,29720.0,45.5,339.5,56400.0,2771.0,4358.0,8.9,16.3,4344.0,163220.0,1.0,1,4.0,4
UB 1100 x 400 x 499,1118.0,405.0,26.0,45.0,30.0,1028.0,968.0,635.2,3.752,1305020.0,23340.0,26810.0,45.1,313.7,50000.0,2469.0,3879.0,8.8,15.1,3253.0,143400.0,1.0,1,4.0,4
UB 1100 x 400 x 433,1108.0,402.0,22.0,40.0,30.0,1028.0,968.0,551.2,3.728,1136540.0,20510.0,23370.0,45.2,266.6,43420.0,2160.0,3370.0,8.8,13.7,2229.0,123500.0,1.0,1,4.0,4
UB 1100 x 400 x 390,1100.0,400.0,20.0,36.0,30.0,1028.0,968.0,497.0,3.708,1016360.0,18470.0,20990.0,45.0,242.1,38490.0,1924.0,2995.0,8.7,12.7,1649.0,108680.0,1.0,1,4.0,4
UB 1100 x 400 x 343,1090.0,400.0,18.0,31.0,30.0,1028.0,968.0,436.5,3.692,878350.0,16110.0,18270.0,44.6,216.9,33130.0,1656.0,2575.0,8.6,11.5,1104.0,92700.0,1.0,2,4.0,4
UB 1016 x 305 x 584,1056.0,314.0,36.0,64.0,30.0,928.0,868.0,743.7,3.244,1246070.0,23590.0,28030.0,40.9,403.2,33430.0,2129.0,3474.0,6.7,19.9,7153.0,81240.0,1.0,1,1.0,2
UB 1016 x 305 x 494,1036.0,309.0,31.0,54.0,30.0,928.0,868.0,629.1,3.194,1027950.0,19840.0,23410.0,40.4,344.5,26820.0,1736.0,2818.0,6.5,17.4,4395.0,64010.0,1.0,1,2.0,3
UB 1016 x 305 x 438,1026.0,305.0,26.9,49.0,30.0,928.0,868.0,556.3,3.167,909170.0,17720.0,20740.0,40.4,299.9,23350.0,1531.0,2462.0,6.4,16.0,3181.0,55290.0,1.0,1,3.0,4
UB 1016 x 305 x 415,1020.0,304.0,26.0,46.0,30.0,928.0,868.0,528.7,3.152,853120.0,16720.0,19570.0,40.1,288.5,21700.0,1428.0,2297.0,6.4,15.3,2703.0,51080.0,1.0,1,3.0,4
UB 1016 x 305 x 393,1016.0,303.0,24.4,43.9,30.0,928.0,868.0,500.2,3.144,807680.0,15890.0,18530.0,40.1,271.2,20490.0,1352.0,2167.0,6.4,14.7,2329.0,48080.0,1.0,1,4.0,4
UB 1016 x 305 x 350,1008.0,302.0,21.1,40.0,30.0,928.0,868.0,445.1,3.13,722960.0,14340.0,16580.0,40.3,235.9,18460.0,1222.0,1940.0,6.4,13.6,1718.0,43010.0,1.0,1,4.0,4
UB 1016 x 305 x 314,1000.0,300.0,19.1,35.9,30.0,928.0,868.0,400.4,3.11,644210.0,12880.0,14850.0,40.1,213.4,16230.0,1082.0,1712.0,6.3,12.6,1263.0,37530.0,1.0,1,4.0,4
UB 1016 x 305 x 272,990.0,300.0,16.5,31.0,30.0,928.0,868.0,346.8,3.095,553840.0,11180.0,12820.0,39.9,184.5,14000.0,933.6,1469.0,6.3,11.3,834.8,32070.0,1.0,2,4.0,4
UB 1016 x 305 x 249,980.0,300.0,16.5,26.0,30.0,928.0,868.0,316.8,3.075,481070.0,9817.0,11340.0,38.9,180.7,11750.0,783.6,1244.0,6.0,10.3,581.9,26620.0,1.0,2,4.0,4
UB 1016 x 305 x 222,970.0,300.0,16.0,21.1,30.0,928.0,868.0,282.8,3.056,407660.0,8405.0,9803.0,37.9,172.2,9545.0,636.3,1020.0,5.8,9.3,390.0,21370.0,1.0,-,4.0,-
UB 1000 x 400 x 976,1108.0,428.0,50.0,89.9,30.0,928.0,868.0,1241.4,3.776,2348680.0,42390.0,50290.0,43.4,570.7,118520.0,5538.0,8838.0,9.7,26.4,24410.0,304410.0,1.0,1,1.0,1
UB 1000 x 400 x 883,1092.0,424.0,45.5,82.0,30.0,928.0,868.0,1125.3,3.737,2096410.0,38390.0,45260.0,43.1,516.4,104970.0,4951.0,7873.0,9.6,24.4,18510.0,265670.0,1.0,1,1.0,1
UB 1000 x 400 x 748,1068.0,417.0,39.0,70.0,30.0,928.0,868.0,953.4,3.674,1731940.0,32430.0,37880.0,42.6,438.9,85110.0,4082.0,6459.0,9.4,21.4,11550.0,210640.0,1.0,1,1.0,1
UB 1000 x 400 x 642,1048.0,412.0,34.0,60.0,30.0,928.0,868.0,817.6,3.624,1450580.0,27680.0,32090.0,42.1,379.6,70280.0,3411.0,5378.0,9.2,18.9,7381.0,170660.0,1.0,1,1.0,2
UB 1000 x 400 x 591,1040.0,409.0,31.0,55.9,30.0,928.0,868.0,752.7,3.602,1331030.0,25590.0,29520.0,42.0,346.3,64010.0,3130.0,4915.0,9.2,17.7,5895.0,154320.0,1.0,1,2.0,3
UB 1000 x 400 x 554,1032.0,408.0,29.5,52.0,30.0,928.0,868.0,705.8,3.585,1232370.0,23880.0,27490.0,41.7,328.0,59090.0,2896.0,4546.0,9.1,16.8,4834.0,141320.0,1.0,1,2.0,3
UB 1000 x 400 x 539,1030.0,407.0,28.4,51.1,30.0,928.0,868.0,687.2,3.58,1202530.0,23350.0,26820.0,41.8,316.3,57630.0,2832.0,4435.0,9.1,16.5,4529.0,137550.0,1.0,1,2.0,4
UB 1000 x 400 x 483,1020.0,404.0,25.4,46.0,30.0,928.0,868.0,615.1,3.554,1067480.0,20930.0,23920.0,41.6,282.7,50710.0,2510.0,3918.0,9.0,15.2,3306.0,119890.0,1.0,1,4.0,4
UB 1000 x 400 x 443,1012.0,402.0,23.6,41.9,30.0,928.0,868.0,563.7,3.533,966510.0,19100.0,21770.0,41.4,261.8,45490.0,2263.0,3529.0,8.9,14.2,2543.0,106730.0,1.0,1,4.0,4
UB 1000 x 400 x 412,1008.0,402.0,21.1,40.0,30.0,928.0,868.0,525.1,3.53,910470.0,18060.0,20460.0,41.6,235.9,43400.0,2159.0,3348.0,9.0,13.6,2144.0,101450.0,1.0,1,4.0,4
UB 1000 x 400 x 371,1000.0,400.0,19.0,36.1,30.0,928.0,868.0,472.8,3.51,813730.0,16270.0,18360.0,41.4,212.5,38580.0,1929.0,2984.0,9.0,12.6,1588.0,89440.0,1.0,1,4.0,4
UB 1000 x 400 x 321,990.0,400.0,16.5,31.0,30.0,928.0,868.0,408.8,3.495,696440.0,14060.0,15790.0,41.2,184.5,33120.0,1656.0,2554.0,9.0,11.3,1033.0,76020.0,1.0,2,4.0,4
UB 1000 x 400 x 296,982.0,400.0,16.5,27.1,30.0,928.0,868.0,377.6,3.479,620310.0,12630.0,14250.0,40.5,181.5,28960.0,1448.0,2242.0,8.7,10.5,763.6,65890.0,1.0,2,4.0,4
UB 920 x 420 x 1377,1093.0,473.0,76.7,115.1,25.0,862.8,812.8,1753.7,3.882,3035400.0,55540.0,67740.0,41.5,812.9,206350.0,8725.0,14160.0,10.8,33.6,60450.0,485320.0,1.0,1,1.0,1
UB 920 x 420 x 1269,1093.0,461.0,64.0,115.1,25.0,862.8,812.8,1616.5,3.859,2901080.0,53080.0,64020.0,42.3,688.7,189900.0,8238.0,13130.0,10.8,32.3,52120.0,449320.0,1.0,1,1.0,1
UB 920 x 420 x 1194,1081.0,457.0,60.5,109.0,25.0,862.8,812.8,1521.5,3.826,2696760.0,49890.0,59910.0,42.0,647.9,175050.0,7660.0,12190.0,10.7,30.7,44110.0,409540.0,1.0,1,1.0,1
UB 920 x 420 x 1077,1061.0,451.0,55.0,99.1,25.0,862.8,812.8,1371.5,3.773,2379090.0,44840.0,53450.0,41.6,583.9,152760.0,6774.0,10740.0,10.5,28.2,33050.0,350470.0,1.0,1,1.0,1
UB 920 x 420 x 970,1043.0,446.0,50.0,89.9,25.0,862.8,812.8,1236.6,3.727,2104260.0,40350.0,47750.0,41.2,526.8,133870.0,6003.0,9497.0,10.3,25.9,24680.0,301870.0,1.0,1,1.0,1
UB 920 x 420 x 787,1011.0,437.0,40.9,73.9,25.0,862.8,812.8,1002.0,3.645,1649860.0,32630.0,38110.0,40.5,425.5,103310.0,4728.0,7431.0,10.1,21.7,13650.0,225650.0,1.0,1,1.0,1
UB 920 x 420 x 725,999.0,434.0,38.1,68.1,25.0,862.8,812.8,922.9,3.615,1496530.0,29960.0,34830.0,40.2,394.0,93210.0,4295.0,6739.0,10.0,20.3,10750.0,201000.0,1.0,1,1.0,1
UB 920 x 420 x 656,987.0,431.0,34.5,62.0,25.0,862.8,812.8,835.3,3.586,1339430.0,27140.0,31360.0,39.9,355.4,83050.0,3854.0,6027.0,9.9,18.7,8098.0,176960.0,1.0,1,1.0,1
